ID	SKU	Name	Attribute 1 default
5304	6094	HOME BED RAIL WITH LEGS	Nova
5455	8845S	Short Length, Compression Stockings, 30-40 mmHg (Truform 8845s)	TRUFORM
5503	8808BL	Knee High, Surgical Compression Stockings, 18 mmHg Anti-Embolism, Black (Truform 8808)	TRUFORM
8789	4278BL	STAR 8 Rollator Walker, 8" Wheels & Petite Size, Blue	Nova
8793	4279BL	STAR Heavy Duty Petite Rollator, Blue	Nova
15496	6065	Step Stool	Nova
15497	PA-1031	Heavy Duty Gait Belt 36" Blue	
15498	PA-1034	Gait Belt 52" Metal Buckle Blue	Nova
15530	PA-B01	Hand Exercise Squeeze Ball - Soft Orange	Nova
15531	PA-1003	Sock Aid - Terry Cloth	Nova
15532	PA-1005	32" Elastic Shoelace Black	Nova
15533	PA-1002	Plastic Shoehorn 24"	Nova
15536	PA-1000	Deluxe Hip Kit	Nova
15564	D-24	Reacher 24" Dragon	Nova
15565	8101	Sitz Bath	Nova
15566	8107-R	Bed Pan	Nova
15567	8105M-R	Male Urinal with Cover	Nova
15569	8113-R	Arm Cast Protector Youth Medium 18"	Nova
15570	UP-1724	Underpad (17" X 24") Reusable	Nova
15571	6070	Overbed Table Standard	Nova
15646	8700-R	Folding Commode	Nova
15688	7180L	Hammertone Wheelchair - 18" Lightweight With Flip Back Detachable Arms & Swing Away Footrest	Nova
15689	319B	Transport Chair  - 19" with Swing Away Footrests	Nova
15702	4329BL	Monarch Rollator	Nova
15703	4801BL	Phoenix Rise UP Rollator Blue	Nova
15722	4218BL	Zoom 18 Rolling Walker - Blue	Nova
15724	2609-R	HAPPY TUSH GEL and FOAM CUSHION	Nova
15743	1090SI	Extra Tall Walking Cane with Offset Handle with Reflector, Silver	Nova
15744	7005GR	Tips For Crutch Gray	Nova
15745	7002GR	Hand Grip Cushion For Crutch Gray	Nova
15746	7001GR	Underarm Pad For Crutch Gray	Nova
15747	7012-R	Crutch Cover Set - Fleece (2 Pairs A Set)	Nova
15748	332R	Heavy Duty Transport Chair with 12" Wheels, Hand Brakes, Removable Arms - 22" Extra Wide with Swing Away	Nova
15749	2688-R	Elevating Knee Wedge Pillow - 17"	Nova
15750	2685-R	Leg Wedge - 8" White	Nova
15772	2699-R	Bed Wedge With Half Roll Pillow	Nova
15773	2690BL-R	Bed Wedge - 7.5" - Blue	Nova
15774	2680BL-R	Folding Bed Wedge - 7.5" - Blue	Nova
15775	2622-R	Knee Pillow Cushion - Small	Nova
15777	2696F-R	Full Roll Pillow - Fleece	Nova
15778	2627-R	Heel Protector With Velour Cover Blue	Nova
15819	2693-R	Cervical Neck Support Collar - 2.5"	Nova
15820	2643BK-R	Travel Neck Pillow Black	Nova
15821	2624-R	Arm Cover - Fleece	Nova
15822	2611BK-16	16" Back Foam Cushion With Lumbar Support and Stabilization Board	Nova
15823	2679BL-R	Lumbar Cushion - Blue	Nova
15825	2701-R	Inflatable Rubber Cushion	Nova
15859	2640-R	Car Seat Cushion Swivel	Nova
15860	4060	Folding Side Walker	Nova
15861	2674-R	18" Molded Foam Comfort Ring - Blue	Nova
15864	2647CG-R	Coccyx Gel Foam Car and Seat Cushion	Nova
15865	2650-3	3" Convoluted Foam Cushion For 18" X 16" Wheelchair	Nova
15866	2601F-R	Gel Foam Seat Cushion With Fleece Top	Nova
15904	2603C-3-1616	3" Coccyx Gel Foam Cushion For 16" X 16" Wheelchair	Nova
15905	2601-2-1616	2" Gel Foam Cushion For 16" x 16" Wheelchair	Nova
15906	2664-3	3" Foam Cushion With Cover	Nova
15907	9601W-R	Bath Seat Cushion - White	Nova
15911	9306-R	Holder for Hand Held Shower	Nova
15943	9301-R	2 Function Hand Held Shower Set	Nova
15945	9350-R	Bath Mat With Suction Grip White Shell	Nova
15946	8216B-R	16" Suction Cup Balance Assist Bar Bronze	Nova
15950	2629-R	2" Padded Toilet Seat Riser	Nova
15982	8343-R	Toilet Seat Riser With Arms - Elongated	Nova
15988	9013	Heavy Duty Bath Seat	Nova
15989	9010	Bath Seat	Nova
16017	9037	Bath Seat With Arms & U-Shaped Hygienic Cutout	Nova
16018	9026	Bath Seat With Arms & Back	Nova
16019	9005	Bath Stool	Nova
